Ant: Hormiga.
Bat: Murciélago.
Bear: Oso.
Beaver: Castor.
Bee: Abeja.
Beetle: Escarabajo.
Bull: Toro.
Butterfly: Mariposa.
Camel: Camello.
Canary: Canario.
Cat: Gato.
Chameleon: Camaleón.
Cheetah: Guepardo.
Chick: Polluelo.
Chicken: Pollo.
Chimpanzee: Chimpancé.
Clam: Almeja.
Cobra: Cobra.
Cock: Gallo.
Cockroach: Cucaracha.
Cow: Vaca.
Crab: Cangrejo.
Crocodile: Cocodrilo.
Crow: Cuervo.
Deer: Ciervo.
Dog: Perro.
Dolphin: Delfín.
Donkey: Burro.
Dove: Paloma.
Dragonfly: Libélula.
Dromedary: Dromedario.
Duck: Pato.
Eagle: Águila.
Eel: Anguila.
Elephant: Elefante.
Falcon: Halcón.
Flamingo: Flamenco.
Fly: Mosca.
Frog: Rana.
Giraffe: Jirafa.
Goat: Cabra.
Goose: Ganso.
Gorilla: Gorila
Grasshopper: Saltamontes.
Hake: Merluza.
Hamster: Hámster.
Hen: Gallina.
Hippopotamus: Hipopótamo.
Horse: Caballo.
Hummingbird: Colibrí.
Hyena: Hiena.
Iguana: Iguana.
Jellyfish: Medusa.
Kangaroo: Canguro.
Koala: Koala.
Ladybug: Mariquita.
Leopard: Leopardo.
Lion: León.
Lizard: Lagarto.
Llama: Llama.
Lobster: Langosta.
Monkey: Mono.
Moose: Alce.
Mosquito: Mosquito.
Moth: Polilla.
Mouse: Ratón.
Octopus: Pulpo.
Ostrich: Avestruz.
Otter: Nutria.
Owl: Búho.
Ox: Buey.
Oyster: Ostra.
Parrot: Loro.
Penguin: Pingüino.
Pig: Cerdo.
Prawn: Langostino.
Pigeon: Paloma.
Rabbit: Conejo.
Racoon: Mapache.
Rhinoceros: Rinoceronte.
Rooster: Gallo.
Salmon: Salmón.
Sardine: Sardina.
Scorpion: Escorpión.
Seal: Foca.
Shark: Tiburón.
Sheep: Oveja.
Shrimp: Gamba.
Skunk: Mofeta.
Sloth: Perezoso.
Snail: Caracol.
Snake: Serpiente.
Sparrow: Gorrión.
Spider: Araña.
Squid: Calamar.
Squirrel: Ardilla.
Tiger: Tigre.
Toad: Sapo.
Tortoise: Tortuga.
Tuna: Atún.
Turkey: Pavo.
Turtle: Tortuga.
Vulture: Buitre.
Walrus: Morsa.
Wasp: Avispa.
Weasel: Comadreja.
Whale: Ballena.
Worm: Gusano.
Zebra: Cebra.
